State,undecideds,Biden_probability,Biden_avg,Trump_probability,Trump_avg,ec,cook,within_moe,spread,within_spread
alabama,4.0,0.0,38.0,1.0,58.0,9,Solid Rep,0,20.0,0
alaska,7.0,0.00025,45.0,0.08435,48.0,3,Likely Rep,0,3.0,1
arizona,5.7,0.31835,49.3,0.0003,45.0,11,Toss Up,0,4.299999999999997,1
arkansas,8.0,0.0003,45.0,0.0214,47.0,6,Solid Rep,1,2.0,1
california,11.0,1.0,57.7,0.0,31.2,55,Solid Dem,0,26.500000000000004,0
colorado,-0.0,0.9994,55.0,0.00045,45.0,9,Likely Dem,0,10.0,0
connecticut,15.2,0.71605,50.9,0.0,33.9,7,Solid Dem,0,17.0,0
delaware,4.0,0.99995,56.0,0.0,40.0,3,Solid Dem,0,16.0,0
florida,7.2,0.7046,50.8,0.0,42.0,29,Toss Up,0,8.799999999999997,0
georgia,7.2,0.0,44.1,0.17765,48.7,16,Toss Up,0,4.600000000000001,1
indiana,9.0,0.0,39.0,0.9044,52.0,11,Solid Rep,0,13.0,0
iowa,10.2,0.0,44.2,0.0015,45.6,6,Lean Rep,1,1.3999999999999986,1
kansas,8.0,0.0,40.0,0.90405,52.0,6,Solid Rep,0,12.0,0
kentucky,6.0,0.0,39.0,0.99965,55.0,8,Solid Rep,0,16.0,0
maine,9.2,0.7801,51.2,0.0,39.6,4,Likely Dem,0,11.600000000000001,0
massachusetts,4.0,1.0,64.0,0.0,32.0,11,Solid Dem,0,32.0,0
michigan,7.4,0.8034,51.3,0.0,41.3,16,Lean Dem,0,10.0,0
minnesota,7.6,0.30375,49.3,0.0,43.1,10,Lean Dem,0,6.199999999999996,1
mississippi,3.0,0.0,41.0,0.9999,56.0,6,Solid Rep,0,15.0,0
missouri,6.7,0.0,43.2,0.5334,50.2,10,Solid Rep,0,7.0,0
montana,5.8,0.0,42.0,0.92425,52.2,3,Likely Rep,0,10.200000000000003,0
nevada,8.3,0.0851,48.0,5e-05,43.7,6,Likely Dem,0,4.299999999999997,1
new hampshire,7.0,0.57025,50.3,0.0,42.6,4,Lean Dem,0,7.699999999999996,0
new jersey,10.5,0.9993,55.0,0.0,34.5,14,Solid Dem,0,20.5,0
new mexico,2.7,0.9918,53.7,0.0,43.7,5,Solid Dem,0,10.0,0
new york,12.3,1.0,55.7,0.0,32.0,29,Solid Dem,0,23.700000000000003,0
north carolina,4.3,0.58,50.3,0.0008,45.3,15,Toss Up,0,5.0,0
ohio,7.2,0.13175,48.4,5e-05,44.4,18,Lean Rep,0,4.0,1
pennsylvania,6.2,0.3043,49.3,0.0001,44.5,20,Lean Dem,0,4.799999999999997,1
south carolina,4.5,5e-05,44.3,0.78405,51.2,9,Likely Rep,0,6.900000000000006,0
tennessee,8.3,0.0,39.0,0.965,52.8,11,Solid Rep,0,13.799999999999997,0
texas,9.2,0.00755,46.4,0.0001,44.4,38,Lean Rep,1,2.0,1
utah,14.3,0.0,39.0,0.01315,46.7,6,Likely Rep,0,7.700000000000003,1
virginia,10.3,0.6616,50.7,0.0,39.0,13,Likely Dem,0,11.700000000000003,0
washington,10.2,1.0,59.5,0.0,30.3,12,Solid Dem,0,29.2,0
wisconsin,8.9,0.0044,46.2,0.0004,44.9,10,Lean Dem,1,1.3000000000000043,1
