State,ec,cook,polls,Biden_avg,Trump_avg,undecideds
arizona,11,Toss Up,Lean Dem,49.3,45.0,5.7
florida,29,Toss Up,Likely Dem,50.7,46.0,3.4
georgia,16,Toss Up,Lean Rep,44.6,48.6,6.9
iowa,6,Lean Rep,Toss Up,44.5,46.0,9.5
michigan,16,Lean Dem,Lean Dem,49.1,41.6,9.3
minnesota,10,Lean Dem,Lean Dem,49.3,43.2,7.6
nevada,6,Likely Dem,Lean Dem,48.0,43.7,8.4
north carolina,15,Toss Up,Likely Dem,51.0,44.0,5.0
ohio,18,Lean Rep,Lean Dem,48.4,44.4,7.2
pennsylvania,20,Lean Dem,Lean Dem,48.3,44.4,7.3
utah,6,Likely Rep,Toss Up,38.5,46.9,14.6
wisconsin,10,Lean Dem,Toss Up,46.2,44.9,8.9
